date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:25:53	65/65	---M--	200	added ('OK')	text/plain	date:Fri,%2017%20Dec%202021%2003:34:13%20GMT	https://wefallinlove.katsudoto.id/robots.txt		(from )
09:25:54	47724/47724	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Sep%202022%2002:25:49%20GMT	https://wefallinlove.katsudoto.id/	D:/Undangan/rifky-lala/v4/wefallinlove.katsudoto.id/index.html	(from )
09:25:56	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2027%20Sep%202022%2002:25:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Undangan/rifky-lala/v4/www.googletagmanager.com/gtm.15445.delayed	(from https://wefallinlove.katsudoto.id/)
09:25:56	243563/243563	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Sep%202022%2011:57:05%20GMT	https://katsudoto.id/media/public/14315/12520/cover/thumb_md_99438_1662206225_1000_1000.jpeg	D:/Undangan/rifky-lala/v4/katsudoto.id/media/public/14315/12520/cover/thumb_md_99438_1662206225_1000_1000.jpg	(from https://wefallinlove.katsudoto.id/)
09:25:56	89472/89472	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2003%20Dec%202021%2015:45:06%20GMT	https://katsudoto.id/src/jquery.js	D:/Undangan/rifky-lala/v4/katsudoto.id/src/jquery.js	(from https://wefallinlove.katsudoto.id/)
09:25:56	164970/164970	---M--	200	added ('OK')	image/png	date:Thu,%2020%20May%202021%2013:29:29%20GMT	https://katsudoto.id/media/kat/favicon.png	D:/Undangan/rifky-lala/v4/katsudoto.id/media/kat/favicon.png	(from https://wefallinlove.katsudoto.id/)
09:25:56	8089/8089	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:27:27%20GMT	https://katsudoto.id/plugin/selectize/dist/css/selectize.default.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/selectize/dist/css/selectize.default.css	(from https://wefallinlove.katsudoto.id/)
09:25:57	1109/1109	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20May%202021%2007:06:36%20GMT	https://katsudoto.id/plugin/flexbin/flexbin.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/flexbin/flexbin.css	(from https://wefallinlove.katsudoto.id/)
09:25:57	26053/26053	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:04:54%20GMT	https://katsudoto.id/plugin/aos/dist/aos.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/aos/dist/aos.css	(from https://wefallinlove.katsudoto.id/)
09:25:57	21386/21386	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20May%202021%2012:16:44%20GMT	https://katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/lightgallery/dist/css/lightgallery.css	(from https://wefallinlove.katsudoto.id/)
09:25:57	59398/59398	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:06:11%20GMT	https://katsudoto.id/plugin/fontawesome/css/all.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/fontawesome/css/all.css	(from https://wefallinlove.katsudoto.id/)
09:25:58	1397/1397	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:04:45%20GMT	https://katsudoto.id/plugin/slick/slick.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/slick/slick.css	(from https://wefallinlove.katsudoto.id/)
09:25:58	2069/2069	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2013:08:38%20GMT	https://katsudoto.id/plugin/modal-video/css/modal-video.min.css	D:/Undangan/rifky-lala/v4/katsudoto.id/plugin/modal-video/css/modal-video.min.css	(from https://wefallinlove.katsudoto.id/)
09:25:59	146331/146331	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Aug%202022%2011:45:37%20GMT	https://katsudoto.id/src/universal.css?1664245549	D:/Undangan/rifky-lala/v4/katsudoto.id/src/universalb404.css	(from https://wefallinlove.katsudoto.id/)
